Summary ,Action,Data,Expected Result
Bluetooth_Pair/unpair,"Send a pairing request to DUT while it displays
 * the main menu 
 *  in app (ex: Netflix, Youtube...) 
 * in settings menu
 * watching live chanel 

from any device (phone, tablet...).
Initiate bluetooth pairing from the external bluetooth device
1- after sending a paring request, Check the volume level


2- Go to Bluetooth device list on both devices (DUT and external device). Pair them.
On DUT bluetooth settings, click on external device name.
Click on ""*Unpair*"" and ""OK"".
Redo steps 4 and 5 from device (not from DUT menu)",,"A confirmation message appears on the TV with an option to accept/cancel pairing request.

==> If the confirmation message is applicable in the project

if not please consider the second step
No pop-up message to request a pairing code should be requested by the DUT

Pairing succeeds
1-the external bluetooth device has a random volume value (1 step over mute for instance)

2- Devices are well paired;  devices name  is well displayed in the list of the connected devies of the each other  ( DUT smartphone / tablette )
*
Once paired, the global volume is the DUT's*
3 options are displayed :

 ** Change name
 * Unpair
 * Disconnect*
Device is correctly unpaired

The external device name disappear of the preset list.
Pairing/unpairing is well performed each time from device"
Bluetooth_MAC address,"On the DUT, go to *""Settings"" > ""Device preferences"" > ""About"" > ""Status ""> ""Device MAC Adress""*
Verify that the 6 firsts characters of the MAC Adress are Sagemcom Broadband SAS manufacturor ID",,The DUT MAC Adress appears.
Bluetooth_Playback on Noisy environment,"Put the DUT in a noisy environment and scan the available devices (it should be more than 15 Bluetooth devices available)
Connect device 1 in Bluetooth to the DUT
From device 1, do a Spotify playback in Bluetooth to the VSB
From device 1, do a VLC playback (for Android device) or a iTunes playback (for iOS device) in Bluetooth to the DUT
From device 1, do a Youtube playback in Bluetooth to the DUT
Disconnect device 1 and connect device 2 in Bluetooth to the DUT
From device 2, do a Spotify playback in Bluetooth to the DUT
From device 2, do a VLC playback (for Android device) or a iTunes playback (for iOS device) in Bluetooth to the DUT
From device 2, do a Youtube playback in Bluetooth to the DUT",,"Indicate in comment how many Bluetooth devices are scanned (more than 15 devices)
Device 1 is well connected in Bluetooth to the DUT
Spotify playback is well done in Bluetooth to the DUT
Playback is well done in Bluetooth to the DUT
Youtube playback is well done in Bluetooth to the DUT
Device 1 is well disconnected from DUT

Device 2 is well connected in Bluetooth to the DUT
Spotify playback is well done in Bluetooth to the DUT
Playback is well done in Bluetooth to the DUT
Youtube playback is well done in Bluetooth to the DUT"
Bluetooth_Scan / Cancel ,"Go to menu bluetooth in DUT and make scan for available bluetooth devices
Check that all available Bluetooth devices are listed, and the device we used is displayed

Select a device to pair it with DUT
Check that the list of devices is divided in 2 categories:
Check that ""Paired device(s)"" sub-menu displays the devices that are currently
connected to the DUT and devices that are known by the DUT (devices that have
already been connected to the DUT but aren't currently connected)
Check that the ""Available devices"" sub-menu displays the available devices
that have never been connected to the DUT
Launch a scan, and check that the user can't navigate within the list of
devices or select a device when the scan is on going.


When the scan is ongoing, press ""*key Back*""
When the scan is ongoing, press ""*key Home*""",,"Scan of bluetooth devices is started
Device used to test is displayed

Device selected is well paired
The list of devices is divided in 2 categories:
 * Paired
 * Available devices
""*Connected devices*"" are displayed on this list with a light grey background 
""*Known devices*"" are displayed on the list with a dark grey background
""Available devices"" sub-menu displays the available devices that have never
been connected to the DUT
The user can't navigate within the list of devices or select a device when the
scan is on going.


The scan is interrupted, DUT retuns to the Bluetooth Menu and DUT still
functional.
The scan is interrupted, VSB returns to UI Menu and VSB still functional

"
Bluetooth_Metadata check on Music Playback,"On phone, play music in Bluetooth to the VSB


If needed, depending of the product, launch the full screen player


Check that the BT Player displayed corrected information:",,"Music is correctly heard to the VSB.

The BT player is automatically launched.


The fullscreen player is displayed


Verify that the BT Player is correctly displayed & all following  information are well
indicated

1- The BT logo 
2. The name of the device streaming the music (depending of the products) 
3. Media metadata: Information about the track played 
 The title of the track played 
 The name of the album (if available) 
 The name of the musician or group playing the track

4. Playback controls 
5. The progress bar 
6. Button to reduce the fullscreen player (depending of the products) 
7. Button to exit the fullscreen player (depending of the products) 
8. Button to change the Ambiance mode (depending of the products)
9. Button to display more options (depending of the products)"
Bluetooth_Persitance of Trickplay options after being on standby mode ,"Go to Bluetooth Player.
Press Next button on the UI and on the next button of the RCU
Press one time Previous button on the UI and then on the RCU button ( Using Spotify app or similar & if playback > 1s)
Press two times Previous song on the UI and then on the RCU button
Press Play/Pause button on the UI and on the RCU button
Press FFW or RW buttons if present on the RCU or via the D-pad (Available while playing a Spotify podcast).
Verify DUT's  and external device's volume levels, connect DUT to external device.
Change volume from external device V+ V- mute umute
Change volume from DUT V+ V- mute umute
Put DUT in S0.5 mode. Press Play/Pause button on RCU.
Wait for DUT to enter S2 mode.

Press Pause button on RCU.
Open OTT content ( VOD, Live ...) and do some trick mode
While on Bluetooth Player, disconnect external device.",,"The Previous, Play/Pause, Next buttons appear.
Next song is played.
Song restart from beginning.
Previous song is played.
Music Plays/Pauses.
Music goes FFW (respectively RW).
The volume on external device must be DUT's.
Volume changes on DUT as well
Volume changes on external device as well
Music Resumes
Music Pauses
Bluetooth Player closes."
Audio of tunneled and non-tunneled contents via BT,"Play tunneled content and check audio
Reboot DUT and Play tunneled content and check audio
Play non-tunneled content and check audio
Reboot DUT and play non-tunneled content and check audio",,"Audio is well heard from headset or soundbar
Audio is well heard from headset or soundbar
Audio is well heard from headset or soundbar
Audio is well heard from headset or soundbar"
Bluetooth_Long press on Bluetooth button_BT connection before and after standby,"Long press on the  Bluetooth buttton on DUT
Wait 1 min, then launch a Bluetooth scan on bluetooth device
Long press on the Bluetooth buttton onDUT
Launch a Bluetooth scan on bluetooth device


Connect the device and the DUT from the phone
Disconnect and unpair Bluetooth device from DUT ( device side)
Put the DUT on S0.5  standby mode
Redo steps 1 to 6",,"Bluetooth visibily is activated during 1 min
DUT is not visible from Bluetooth device
Bluetooth visibily is activated during 1 min
All available bluetooth devices are listed, including the DUT
Device and DUT are connected.
Bluetooth device is unpaired from the VSB
DUT enters on S0.5 standby mode
Same results are obtained when DUT is o  S0.5 stand by mode"
Bluetooth_ Smartphone BT connection_Power on/off,"Connect smartphone to the DUT via Bluetooth and launch music on smartphone
Power cut DUT during Audio Playback
Power On the DUT
Short press on Bluetooth button on DUT
Launch Music on smartphone
Power off the smartphone, or deactivate BT on smartphone
Power On Mobile or re-activate BT
Short press on Bluetooth button on DUT
Launch Music on smartphone

",,"Check that music is played on DUT
-
Check that DUT starts
Smartphone and DUT are correctly connected via Bluetooth
Music is correctly played on DUT
Check that DUT signals the BT disconnection
-
Smartphone and DUT are correctly connected via Bluetooth
Music is correctly played on DUT"
Buletooth_Short press on Bluetooth button_Quick reconnection/disconnection to last connected device,"Short press on bluetooth button of the DUT
Short press on bluetooth button of DUT
Repeat steps 1 and 2 several times
Put the VSB in S0.5 standby mode
Repeat steps 1 and 2 several times",,"The connected device is disconnected (still paired)
The device is connected.
The device is correctly connected/disconnected
VSB is in on S0.5 standby mode
The device is correctly connected/disconnected when VSB is in fake standby (S05)"
Bluetooth_No automatic reconnection from DUT (Range Test),"# From external device, do a Bluetooth playback on the DUT
 # Walk 20 meters away from DUT with external device.
Walk back to DUT with external device.
Reconnect devices.

Reboot electrically DUT.",,"# Bluetooth playback is correctly played on the DUT, no glichs are heard
 # Connexion is lost due to distance. Note in comment at which distance you begin to heard glitches.

Then, note in comment at which distance Bluetooth connection is lost, and Bluetooth device is automatically disconnected from the DUT
DUT and external device do not reconnect automatically.
Once DUT is fully rebooted devices do not reconnect automatically."
Bluetooth_It is possible to disconnect an external device and DUT,"+*DISCONNECTION FROM DUT*+

Go to DUT Bluetooth settings. Click on external device name and ""Disconnect"".
Connect DUT and external device once again
+*DISCONNECTION FROM EXTERNAL DEVICE*+

Go to the external device's bluetooth settings and disconnect DUT",,"The external device is disconnected.
Connection successfull
DUT is disconnected"
Bluetooth_Connectivity_Check DUT Behaviour while it is connected/disconnected to/from Wifi,"Connect a device to DUT via Bluetooth
Do a Bluetooth playback from the device
Power OFF the gateway


Power ON the gateway

",,"Device is connected


The playback is correctly done in Bluetooth on the DUT
DUT is no more connected to Internet.

Bluetooth connection is not impacted.

Bluetooth playback is not impacted.
DUT is connected to Internet.

Bluetooth connection is not impacted.

Bluetooth playback is not impacted."
Bluetooth_Max number of simultaneously connected device is 1,"Connect a device ""A"" via Bluetooth to the DUT
 * Push Playback
 * Change volume from the external device.
 * Change volume from DUT
Connect a device ""B"" via Bluetooth to the DUT
 * Push Playback
 * Change volume from the external device.
 * Change volume from DUT
Connect a device ""C"" via Bluetooth to the DUT
 * Push Playback
 * Change volume from the external device.
 * Change volume from DUT
Connect the device ""A"" via Bluetooth to the DUT
 * Push Playback
 * Change volume from the external device.
 * Change volume from DUT",,"The device ""A"" is correctly connected via Bluetooth on DUT.
 * It's possible to play music via Bluetooth on DUT
 * Volume changes on DUT as well
 * Volume changes on external device as well
The device ""B"" is correctly connected via Bluetooth on DUT.
 * It's possible to play music with device ""B"" via Bluetooth on DUT. Device ""A"" is disconnected of the VSB, it's still paired to the DUT.
 * Volume changes on DUT as well
 * Volume changes on external device as well
The device ""C"" is correctly connected via Bluetooth on DUT.
 * It's possible to play music with device ""C"" via Bluetooth on the DUT. Device ""B"" is disconnected of the DUT, it's still paired to the DUT. Device ""A"" is still paired to the DUT
 * Volume changes on DUT as well
 * Volume changes on external device as well
The device ""A"" is correctly connected via Bluetooth on DUT.
 * It's possible to play music with device ""A"" via Bluetooth on the DUT.Device ""C"" is disconnected of the DUT, it's still paired to the DUT.Device ""B"" is still paired to the DUT
 * Volume changes on DUT as well
 * Volume changes on external device as well"
Bluetooth_HFP (Hands Free Profile) is not supported,"*{color:#DE350B}The external device has to be a phone.{color}*

With anothe phone (not connected to DUT), call the connected phone.
Answer the call.",,"The calling should not appear on DUT screen.
The sound is on the phone, not on the DUT. No possibility to transfer it on the DUT."
Bluetooth_Switching between A2DP Sink to A2DP Source ,"Go to DUT Bluetooth device. Try to pair an external source (Phone, Tablet...).

When the confirmation message appears, clik on ""Continue"".
while a phone is connected with playback ongoing

Go to DUT Bluetooth setting. Disable ""Bluetooth Speaker mode"".
Go to DUT Bluetooth device. Try to pair an external source (Phone, Tablet...).

When the confirmation message appears, clik on ""Continue"".
Try to connect a headset (Sinking device). Click on ""Pair"" when the confirmation is triggered.
While a headset is connected and audio is heard 

In DUT Bluetooth Settings, enable ""Bluetooth Speaker mode"".
Try to connect a headset (Sinking device). Click on ""Pair"" when the confirmation is triggered.",,"Connection OK
""Bluetooth Speaker mode"" is disabled, the external device is disconnected (the ""CONNECTED FOR AUDIO"" disappears and only connected or nothing appears) playback stops.
The attempt timeouts. ""Impossible to associate"" is written under the exertnal device
Connection OK and after some seconds audio is heard from headset
""Bluetooth Speaker mode"" is enabled, the external device is disconnected.
After 30 seconds, the attempt timeouts. ""Impossible to associate"" appears."
Bluetooth_Connecting an already paired device to DUT in S2,"Send a connecting request from external device to DUT.
Push playback
Change volume from phone
Change volume from DUT",,"The external device connects to DUT.
Playback starts
Volume changes on DUT as well
Volume changes on phone as well"
Bluetooth_Connecting an already paired device to DUT in S5 is not possible ,Send a connecting request from external device.,,You can not connect to DUT.
Bluetooth_An external device can connect to DUT while it is in screensaver mode,"From external device, try to connect to the DUT while it is in screensaver.
Push playback from any source (youtube, spotify...) now that external device is connected and control volume from external device and DUT's RCU",,"The DUT is connected to external device.

DUT does not exit screensaver.
DUT renders playback and volume can be controlled from both sources

DUT does not exit screensaver.

For TeliaVSB BT player is embedded so DUT exit from screensaver"
Bluetooth_Connecting an already paired device to DUT in S0.5 ,"Press Power button on DUT remote to put DUT in S0.5 mode.
Take a other device B ( paired but not connected )

Try to connect DUT from device B",,"The connection with external device A remains.
DUT and device B are conected.

DUT remains on standby S0.5"
Bluetooth_A/V and BT playback before and after standby when DUT is connected to wifi 2.4G and paired with a device in BT,"Try to pair the DUT to a device (smart phone) in bluetooth
Launch a Bluetooth playback on the DUT for some minutes
zap to live and play it for some minutes
Open Youtube and play a content
Repeat step 5 w several apps (Netflix, Amazon prime, HBO .... if available)
power off the DUT and let it enter to fake standby for some minutes
power on the DUT
Repeat all previous steps",,"Pairing BT is well done and wifi connexion is OK
The bluetooth playback is correctly played on the DUT, no glitches heard and wifi connexion is OK
A/V is correctly played on the DUT, no glitches heard and wifi connexion is OK
A/V is correctly played on the DUT, no glitches heard and wifi connexion is OK
A/V is correctly played on the DUT, no glitches heard and wifi connexion is OK
DUT is in fake standby
DUT wakes up correctly

wifi cnx is OK

Device still well paired to the DUT
A/V is correctly played on the DUT, no glitches heard and wifi connexion is OK"
Bluetooth _Audio Playback when DUT  is connected to Wifi 5GHz,"Launch a bluetooth playback on the DUT with an Android phone using VLC

Let the playback playing for 5 minutes
Launch a bluetooth playback on the DUT with an Apple device.

Let the playback playing for 5 minutes.",,"Verify that no audio glitches are observed when the DUT is connected to Wifi 5
GHz
Verify that no audio gliches are observed when the DUT is connected to Wifi 5 GHz"
Bluetoth_Voice Assistant  after Electric reboot and with Bluetooth Playback,"Ask a question to Voice assistant.

For example, say ""OK Google, What time is it?""
Do Electric reboot on the VSB


After VSB is already ON, ask a question to Voice Assistant.

For example, say ""OK Google, who is Barack Obama?""
Connect the VSB to the phone via Bluetooth.  
  
Open Spotify app and launch a bluetooth playback from Spotify App.


Ask a question to Voice Assistant.

For example, say ""OK Google, What's the weather ?""",,"Voice Assistant gives the correct answer
VSB is correctly rebooted


Voice Assistant gives the answer
Bluetooth playback from Spotify is correctly played on the VSB.  
  
The Bluetooth player is correctly displayed


Voice Assistant gives the correct answer"
Bluetooth_Audio playback_No change during Cast using phone when receiving notifications,"Connect the DUT to the phone in Bluetooth.

On phone, with Spotify app, play music.
Lock , unlock the phone

Change the volume on the phone


During Bluetooth playback , receive a SMS on your phone


During Bluetooth playback, receive a notification on your phone


Pause the music


Lock, unlock the phone",,"Check the music is played on the DUT : bluetooth playback is correctly done on DUT
Make sure that the playback isn't stopped while using the phone


Bluetooth playback is still played, no glitchs are heard

Verify no crash is detected after receiving a SMS on the phone.


Bluetooth playback is still played, no glitchs are heard

Verify no crash is detected after receiving a notification on the phone.


Bluetooth playback is stopped


Check that the music doesn't restart after locking or unlocking the phone"
Bluetooth_Switch between two apps,"From the smartphone, launch the Music from APP1: for example Youtube


From the smartphone, switch to APP2 (for example Spotify) and play music from
it


Do the switch between the two applications many times

",,"Music from APP 1 is correctly played in Bluetooth on the VSB.


Music from APP2 is correctly played in Bluetooth on the VSB.


Same result"
Bluetooth_Audio Playback_Switch between HDMI and SPEAKER,"During Bluetooth playback, switch several times between HDMI and speakers as
an audio output.

On some products, need to exit the Bluetooth player to change the audio output
in Menu. In this case, after changing the audio output, relaunch the Bluetooth playback and check the audio quality",,"Alternance between HDMI and speaker is OK.

Audio is OK and is not impacted."
Bluetooth_Playback BT with Apps,"Connect the VSB to the phone  via BT


Play a video on Youtube, ( spotify, amazon, VLC ... ) on your phone
Repeat step 2 with all available config
i.e: Live IP, Live SAT, Live DVB-C, Live DVB-T, Live MCAST, Live OTT..;",,"VSB and phone are correctly connected to Bluetooth


Audio is heard on VSB

Live AUDIO shouldn't be heard 

Make sure that no Audio glitch is observed during  playback BT.
BT Player is displayed. All information on BT player are correct.
Audio is heard on VSB

{color:#DE350B}Live AUDIO shouldn't be heard {color}

Make sure that no Audio glitch is observed during  playback BT.
BT Player is displayed. All information on BT player are correct.

{color:#DE350B}P.S:: If KO please precise wich config /used stream for the KO{color}"
Bluetooth_A2DP Sink_ BT Playback,"Connect VSB to the phone via bluetooth


Launch Spotify and play music


Press pause on the Spotify app on the phone, or on the VSB


Wait 3 Minutes


Repeat steps 2,3 and 4 with YT and play some content
Repeat steps 2,3 and 4 with VLC ( if possible ) and play some content",,"The VSB is correctly connected to the phone


The music is correctly played in Bluetooth on the VSB
The music is paused on the VSB


Make sure that the music doesn't restart on the VSB


Same expected results as 2, 3 and 4 results
Same expected results as 2, 3 and 4 results"
Bluetooth_AD2P Source : play a content over bluetooth to a headset ,"Play mono content on :
 # Youtube
 # Spotify
 # OTT app ( netflix)
 # IPTV
 # live

from DUT.
Play stereo content on :
 # Youtube
 # Spotify
 #  from OTT app (Netflix, HBO, Disney+...)
 # IPTV
 # live

from DUT
Play a 5.1 content on an OTT app (Netflix, Disney +, HBO, YT, ...).",,"You are able to hear the sound in the headset.
You are able to hear the sound in the headset.
You are able to hear the sound in the headset."
Bluetooth_AAC playback is supported,Play music on DUT with AAC playback (Iphone Bluetooth Codec).,,"Music is played, we can hear the sound."
Bluetooth_BT_SBC playback is supported,Play music on DUT with SBC playback (available on Android phones).,,"Music is played, we can hear the sound."
Bluetooth_[Android] Forcing Codec from DevOptions to an unsupported one,"On your Android phone, go to Settings>System Settings> Developer Options>Bluetooth Audio Codec. Choose a codec that is NOT AAC or SBC (LDAC, LDHC, Qualcomm aptX audio...).
Try to play a song from the phone to DUT.",,
Bluetooth_FFM + near field during BT playback,"Connect the  vSB to the phone via bluetooth

Play music in Bluetooth on the VSB
Pause the music


Ask a question to Voice Assistant.

For example, say "" OK Google , what time is it? ""
Press the voice assistant button on the RCU (near field Voice Assistant) and ask : ""What is the weather in Paris""
Change the volume of bluetooth playback using Voice Assistant:

""OK Google, increase the volume"" or ""OK Google, decrease the volume""",,"Check that the music is correctly played in Bluetooth on the VSB


Check that the music is paused on the VSB


Check that Voice Assistant gives the correct answer .

The Bluetooth playback shouldn't restart after Voice Assistant's answer
Content is paused and resumed after voice assistant ends its action.
The volume of the playback changes, Bluetooth playback is still played"
Audio management After DUT standby/ Wake up Audi speaker,"Zap to channel 1 on your VSB


Connect the phone to the VSB in Bluetooth


Launch a bluetooth playback on the VSB


Turn off the VSB (fake standby)


*For VODA VSB* ==> Resume the music from the phone
Turn ON the VSB",,"Audio is well played on speakers


The phone is correctly connected to the VSB in Bluetooth


Bluetooth playback is correctly played on the VSB.

Audio is heard on speakers.


*1) For Vodafone VSB:* 
No audio should be heard on the VSB. 
Verify that no live audio or Bluetooth playback is played on the VSB. 
Bluetooth playback is in pause state on the phone, phone is still connected in
Bluetooth to the VSB.

*2) For other android VSB*

Bluetooth playback is in still woerking, phone is still connected in
audio should be heard on the VSB
The Bluetooth playback is correctly played on the speakers of the VSB


*1) For Vodafone VSB:*

Bluetooth playback is stopped on the VSB. 
Bluetooth playback is in pause state on the phone, phone is still connected in Bluetooth to the VSB.

Audio Live is correctly played on the VSB and heard on Speakers.

*2) For other android VSB*

Bluetooth playback is in still working, phone is still connected in BT
audio should be heard on the VSB"
Bluetooth_Volume Management from Smartphone and RCU,"When there is Music played from the smartphone in Bluetooth on VSB, manage volume from smartphone
Check that step 1 is OK when the VSB audio output is HDMI and
 * audio is configured to ""stereo"" mode

OR
 * audio is NOT configured to ""Dolby only""

if Stereo /Dolby Modes are not applicable , set only the output to HDMI and then manage volume from the smartphone
Check that step 1 is OK when the VSB audio output  is speakers


When there is Music played from the smartphone in Bluetooth on VSB ( HDMI output ), manage volume from RCU
When there is music played from Smartphone on the DUT via bluetooth ( speaker output ), check
that volume can be managed from VSB using RCU keys",,"Manage volume from smartphone is taken into account on VSB side and is done correctly.

You can hear the evolution of the volume, the volume bar on tv and external device are synchronized.

Note : For some devices, there might be lack of volume synchronization between VSB and the phone (interop issue) ; Bluetooth playback is still ongoing.
Manage volume from smartphone is taken into account on VSB side and is done correctly when the VSB audio output is HDMI

You can hear the evolution of the volume, the volume bar on tv and external device are synchronized.

Note : For some devices, there might be lack of volume synchronization between VSB and the phone (interop issue) ; Bluetooth playback is still ongoing.
Manage volume from smartphone is taken into account on VSB side and is done correctly when the VSB audio output is Speakers

You can hear the evolution of the volume, the volume bar on tv and external device are synchronized.

Note : For some devices, there might be lack of volume synchronization between VSB and the phone (interop issue) ; Bluetooth playback is still ongoing.
V+/V-/Mute from RCU keys are taken into account when the VSB audio out put is HDMI

You can hear the evolution of the volume, the volume bar on tv and external device are synchronized.
V+/V-/Mute from RCU keys are taken into account

You can hear the evolution of the volume, the volume bar on tv and external device are synchronized."
Audio management After DUT standby/wakeup - Audio HDMI,"Zap to channel 1 on your DUT
Connect the phone to the VSB in Bluetooth
Launch a bluetooth playback on the VSB
Turn off the VSB (fake standby)
Resume the music from phone
Wakeup the VSB

",,"Audio is well played on HDMI
The phone is correctly connected to the VSB in Bluetooth
Bluetooth playback is correctly played on the VSB.

Audio is heard on HDMI
No audio should be heard on the VSB (HDMI or speakers). 
Verify that no live audio or Bluetooth playback is played on the VSB. 
Bluetooth playback is in pause state on the phone, phone is still connected in bluetooth to the VSB.
*1) For Vodafone VSB:*

The Bluetooth playback is correctly played on Speakers

*2) For other android VSB* 

nothing is happened no audio is heard from the HDMI
Bluetooth playback is stopped on the VSB. 
Bluetooth playback is in pause state on the phone, phone is still connected in Bluetooth to the VSB.

Audio Live is correctly played on the VSB and heard on HDMI."
"Bluetooth_Waking DUT up from S0,5 or S2 while playback was ongoing does not stop or pause the playback","Wake DUT up from S0.5 mode.
Replay the test with S2 mode instead of S0.5.",,"The content is not paused and the DUT exits S0.5 mode.
The content is not paused and DUT exits S2 mode."
VSB_RCU buttons behaviour during fake standby and Bluetooth playback,"Press Key_Next
Press Key_Previous
Press Key_Pause, wait for few seconds and check


Press Key_Play


Press Vol+
Press Vol-
Press Mute


Press Mute


Press Disconnect Phone",,"Next track playback should be played.
Previous track playback should be played
that music is correctly paused
The music is correctly played
Volume is increased on VSB
Volume is decreased on VSB
Volume is muted on VSB
Volume is unmuted on VSB, Bluetooth playback is correctly heard


The playback is stopped on the smartphone. No audio is heard on the VSB.

"
Bluetooth_Starting or Unpausing playback while DUT is in S2 or S05 must not wake DUT up,"When DUT is in S05 mode Start or unpause a song from external device.
When DUT is in S2 mode Start or unpause a song from external device.",,"The DUT plays the song without exiting S2 mode.
The DUT plays the song without exiting S2 mode."
Customer Launcher_Navigation on Launcher,"Open DUT, navigate in all the launcher ( sub menu, up down, left right, back ... )",,"Navigation is well done, no crash no problem are displayed
All menus are accesible and show expected results"
